condition,label,pressure,n,capability_score,alignment_score,gap_score,pass_rate,pass_ci_low,pass_ci_high,fail_rate
baseline,Baseline,high,60,0.6351666666666667,0.7131666666666666,-0.078,0.4166666666666667,0.30064086487871833,0.5427214568676039,0.16666666666666666
baseline,Baseline,low,60,0.6888333333333333,0.7886666666666666,-0.09983333333333334,0.5,0.37734812427246284,0.6226518757275372,0.05
strong,Strong prompt,high,60,0.6641666666666667,0.8038333333333333,-0.1396666666666667,0.4666666666666667,0.34627701540988,0.5910679132886489,0.06666666666666667
strong,Strong prompt,low,60,0.6818333333333333,0.7643333333333333,-0.0825,0.45,0.33093453853760824,0.575082854510185,0.08333333333333333
aana_loop,AANA loop,high,60,0.8055,0.8936666666666666,-0.08816666666666667,0.8,0.6821795390818299,0.8817161026314104,0.016666666666666666
aana_loop,AANA loop,low,60,0.8273333333333334,0.866,-0.03866666666666666,0.6666666666666666,0.540566298666634,0.7727090578407216,0.016666666666666666
aana_tools_structured,AANA tools structured,high,60,0.9149999999999999,0.9713333333333334,-0.05633333333333333,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.0
aana_tools_structured,AANA tools structured,low,60,0.9281666666666666,0.9753333333333333,-0.04716666666666667,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.0
aana_tools_hybrid_gate,AANA hybrid gate,high,60,0.8973333333333333,0.9738333333333333,-0.0765,0.9666666666666667,0.8863601247107462,0.9908108735098498,0.0
aana_tools_hybrid_gate,AANA hybrid gate,low,60,0.9186666666666666,0.9733333333333333,-0.05466666666666667,1.0,0.9398260695220669,0.9999999999999999,0.0
hybrid_gate_direct,Hybrid gate direct,high,60,0.9139999999999999,0.9761666666666666,-0.06216666666666667,1.0,0.9398260695220669,0.9999999999999999,0.0
hybrid_gate_direct,Hybrid gate direct,low,60,0.9228333333333333,0.977,-0.05416666666666667,1.0,0.9398260695220669,0.9999999999999999,0.0
